module,doctype,field,fieldtype,mandatory,reference_note,django_app,django_model,django_field,status,evidence
Ssbikez,AMC Invoice items,amc_type,Link,yes,AMC Type,,,,,
Ssbikez,AMC Invoice items,quantity,Int,yes,Quantity,,,,,
Ssbikez,AMC Invoice items,hsn_code,Data,no,HSN Code,,,,,
Ssbikez,AMC Invoice items,rate,Currency,yes,Rate,,,,,
Ssbikez,AMC Invoice items,amc_amount,Currency,yes,AMC Amount,,,,,
Ssbikez,AMC Invoice,section_break_ixyh,Section Break,no,,,,,,
Ssbikez,AMC Invoice,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC Invoice,company,Link,no,Company,,,,,
Ssbikez,AMC Invoice,invoice_no,Data,yes,Invoice No,,,,,
Ssbikez,AMC Invoice,supplier,Link,yes,Supplier,,,,,
Ssbikez,AMC Invoice,gst_,Link,yes,GST %,,,,,
Ssbikez,AMC Invoice,pay_mode,Link,no,Pay Mode,,,,,
Ssbikez,AMC Invoice,amc_type,Link,no,AMC Type,,,,,
Ssbikez,AMC Invoice,amc_amount,Currency,no,AMC Amount,,,,,
Ssbikez,AMC Invoice,column_break_idhf,Column Break,no,,,,,,
Ssbikez,AMC Invoice,invoice_date,Date,yes,Invoice Date,,,,,
Ssbikez,AMC Invoice,branch,Link,yes,Branch,,,,,
Ssbikez,AMC Invoice,quantity,Int,no,Quantity,,,,,
Ssbikez,AMC Invoice,payment_type,Select,no,Payment Type,,,,,
Ssbikez,AMC Invoice,status,Data,no,Status,,,,,
Ssbikez,AMC Invoice,payment_status,Data,no,Payment Status,,,,,
Ssbikez,AMC Invoice,naming_series,Select,no,Naming Series,,,,,
Ssbikez,AMC Invoice,section_break_gurm,Section Break,no,,,,,,
Ssbikez,AMC Invoice,amc_invoice_items,Table,no,AMC Invoice items,,,,,
Ssbikez,AMC Invoice,section_break_uyug,Section Break,no,,,,,,
Ssbikez,AMC Invoice,total_amount,Currency,yes,Total Amount,,,,,
Ssbikez,AMC Invoice,column_break_mxdb,Column Break,no,,,,,,
Ssbikez,AMC Invoice,pending_amount,Currency,yes,Pending Amount,,,,,
Ssbikez,AMC Stock History,date,Date,yes,Date,,,,,
Ssbikez,AMC Stock History,branch,Link,yes,Branch,,,,,
Ssbikez,AMC Stock History,supplier,Data,yes,Supplier,,,,,
Ssbikez,AMC Stock History,quantity,Int,yes,Quantity,,,,,
Ssbikez,AMC Stock History,updated_quantity,Int,no,Balance Quantity,,,,,
Ssbikez,AMC Stock,amc,Link,yes,AMC,,,,,
Ssbikez,AMC Stock,stock,Int,no,Stock,,,,,
Ssbikez,AMC Stock,column_break_usdhk,Column Break,no,,,,,,
Ssbikez,AMC Stock,purchase_order_details,Small Text,no,Purchase Order Details,,,,,
Ssbikez,AMC Stock,section_break_haphh,Section Break,no,,,,,,
Ssbikez,AMC Stock,stock_history,Table,no,Stock History,,,,,
Ssbikez,AMC Stock,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC Types,company,Link,no,Company,,,,,
Ssbikez,AMC Types,amc_type,Data,yes,AMC Type,,,,,
Ssbikez,AMC Types,amc_validity_days,Int,yes,AMC Validity Days,,,,,
Ssbikez,AMC Types,column_break_jqeo,Column Break,no,,,,,,
Ssbikez,AMC Types,branch,Link,no,Branch,,,,,
Ssbikez,AMC Types,amc_amount,Currency,no,AMC Amount,,,,,
Ssbikez,AMC Types,hsn_code,Data,no,HSN Code,,,,,
Ssbikez,AMC Types,reference_number,Data,no,Reference Number,,,,,
Ssbikez,AMC Types,section_break_bveb,Section Break,no,,,,,,
Ssbikez,AMC Types,ss_bikes,Check,no,SS Bikes,,,,,
Ssbikez,AMC Types,column_break_tymz,Column Break,no,,,,,,
Ssbikez,AMC Types,yamaha,Check,no,Yamaha,,,,,
Ssbikez,AMC Types,column_break_bnsk,Column Break,no,,,,,,
Ssbikez,AMC Types,deactivate_amc,Check,no,Deactivate AMC,,,,,
Ssbikez,AMC Types,section_break_pdzn,Section Break,no,,,,,,
Ssbikez,AMC Types,vehicle_type,Link,no,Vehicle Type,,,,,
Ssbikez,AMC Types,column_break_rwob,Column Break,no,,,,,,
Ssbikez,AMC Types,no_of_service,Int,no,No of Service,,,,,
Ssbikez,AMC Types,column_break_zpwh,Column Break,no,,,,,,
Ssbikez,AMC Types,water_wash_count_free,Int,no,Water Wash Count (Free),,,,,
Ssbikez,AMC Types,column_break_yloh,Column Break,no,,,,,,
Ssbikez,AMC Types,service_interval_days,Int,no,Service Interval (days),,,,,
Ssbikez,AMC Types,column_break_eqjw,Column Break,no,,,,,,
Ssbikez,AMC Types,grace_days,Int,no,Grace Days,,,,,
Ssbikez,AMC,amc_type_section,Section Break,no,AMC Type,,,,,
Ssbikez,AMC,ss_bikes,Check,no,SS Bikes,,,,,
Ssbikez,AMC,column_break_tb7jg,Column Break,no,,,,,,
Ssbikez,AMC,yamaha,Check,no,YAMAHA,,,,,
Ssbikez,AMC,section_break_uohvy,Section Break,no,,,,,,
Ssbikez,AMC,date,Date,yes,Date,,,,,
Ssbikez,AMC,amount,Currency,yes,Amount,,,,,
Ssbikez,AMC,branch,Link,yes,Branch,,,,,
Ssbikez,AMC,company,Link,no,Company,,,,,
Ssbikez,AMC,naming_series,Select,no,Series,,,,,
Ssbikez,AMC,column_break_npokz,Column Break,no,,,,,,
Ssbikez,AMC,order_form_id,Link,no,Order Form ID,,,,,
Ssbikez,AMC,gst,Link,yes,GST %,,,,,
Ssbikez,AMC,column_break_fikng,Column Break,no,,,,,,
Ssbikez,AMC,vehicle_number,Data,no,Vehicle Number,,,,,
Ssbikez,AMC,total_amount,Currency,yes,Total Amount,,,,,
Ssbikez,AMC,ledger_voucher_no,Link,no,Ledger Voucher No,,,,,
Ssbikez,AMC,column_break_kisvt,Column Break,no,,,,,,
Ssbikez,AMC,chasis_number,Data,no,Chasis Number,,,,,
Ssbikez,AMC,gst_amount,Currency,no,GST Amount,,,,,
Ssbikez,AMC,customer,Link,no,Customer,,,,,
Ssbikez,AMC,column_break_dstgb,Column Break,no,,,,,,
Ssbikez,AMC,amc_no,Link,yes,AMC Plan,,,,,
Ssbikez,AMC,with_out_gst_amount,Currency,no,Taxable Amount,,,,,
Ssbikez,AMC,vehicle_name,Link,no,Vehicle Name,,,,,
Ssbikez,AMC,section_break_4vtnl,Section Break,no,,,,,,
Ssbikez,AMC,vehicle_group,Link,no,Vehicle Group,,,,,
Ssbikez,AMC,column_break_w2sbp,Column Break,no,,,,,,
Ssbikez,AMC,no_of_service,Int,no,No of Service,,,,,
Ssbikez,AMC,column_break_dfnnt,Column Break,no,,,,,,
Ssbikez,AMC,water_wash_count_free,Int,no,Water Wash Count (Free),,,,,
Ssbikez,AMC,column_break_tdlmv,Column Break,no,,,,,,
Ssbikez,AMC,service_interval,Int,no,Service Interval(Days),,,,,
Ssbikez,AMC,column_break_ujdqk,Column Break,no,,,,,,
Ssbikez,AMC,grace_days,Int,no,Grace Days,,,,,
Ssbikez,AMC,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC,amended_from,Link,no,Amended From,,,,,
Ssbikez,Add AMC Stock,purchase_type,Link,yes,Purchase Type,,,,,
Ssbikez,Add AMC Stock,company,Data,no,Company,,,,,
Ssbikez,Add AMC Stock,branch,Link,yes,Branch,,,,,
Ssbikez,Add AMC Stock,column_break_mswd,Column Break,no,,,,,,
Ssbikez,Add AMC Stock,supplier,Link,yes,Supplier,,,,,
Ssbikez,Add AMC Stock,purchase_order_details,Small Text,no,Purchase Order Details,,,,,
Ssbikez,Add AMC Stock,column_break_zjyz,Column Break,no,,,,,,
Ssbikez,Add AMC Stock,purchase_quantity,Int,yes,Purchase Quantity,,,,,
Ssbikez,Add AMC Stock,section_break_ziaz,Section Break,no,,,,,,
Ssbikez,Add AMC Stock,update_stock,Button,no,Update Stock,,,,,
Ssbikez,Add New Spares,disable,Check,no,Disable,,,,,
Ssbikez,Add New Spares,section_break_fmg7p,Section Break,no,,,,,,
Ssbikez,Add New Spares,category,Select,yes,Category,,,,,
Ssbikez,Add New Spares,brand,Data,no,Brand,,,,,
Ssbikez,Add New Spares,hsn_code,Link,yes,HSN Code,,,,,
Ssbikez,Add New Spares,helmet_rate,Currency,no,Helmet Rate,,,,,
Ssbikez,Add New Spares,column_break_cnsfd,Column Break,no,,,,,,
Ssbikez,Add New Spares,item_code,Data,no,Item Code,,,,,
Ssbikez,Add New Spares,helmet_code,Data,no,Helmet Code,,,,,
Ssbikez,Add New Spares,part_number,Data,no,Part Number,,,,,
Ssbikez,Add New Spares,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Add New Spares,column_break_utqmd,Column Break,no,,,,,,
Ssbikez,Add New Spares,item_name,Data,no,Item Name,,,,,
Ssbikez,Add New Spares,spare_category,Link,no,Spare Category,,,,,
Ssbikez,Add New Spares,helmet_name,Data,no,Helmet Name,,,,,
Ssbikez,Add New Spares,column_break_enw6p,Column Break,no,,,,,,
Ssbikez,Add New Spares,uom,Link,yes,UOM,,,,,
Ssbikez,Add New Spares,gst,Int,no,GST,,,,,
Ssbikez,Add New Spares,item_group,Data,no,Item Group,,,,,
Ssbikez,Add New Spares,section_break_s5ecq,Section Break,no,,,,,,
Ssbikez,Add New Spares,rack_bin_details,Table,no,Rack Bin Details,,,,,
Ssbikez,Add New Vehicle,disable,Check,no,Disable,,,,,
Ssbikez,Add New Vehicle,section_break_ucrfc,Section Break,no,,,,,,
Ssbikez,Add New Vehicle,item_code,Data,yes,Item Code,,,,,
Ssbikez,Add New Vehicle,item_name,Data,yes,Item Name,,,,,
Ssbikez,Add New Vehicle,item_group,Data,no,Item Group,,,,,
Ssbikez,Add New Vehicle,model_name,Data,no,Model Name,,,,,
Ssbikez,Add New Vehicle,column_break_epiie,Column Break,no,,,,,,
Ssbikez,Add New Vehicle,item_subgroup,Link,no,Item Subgroup,,,,,
Ssbikez,Add New Vehicle,vehicle_category,Link,yes,Vehicle Category,,,,,
Ssbikez,Add New Vehicle,hsn_sac,Link,yes,HSN / SAC,,,,,
Ssbikez,Add New Vehicle,section_break_tgkhm,Section Break,no,Vehicle Colors,,,,,
Ssbikez,Add New Vehicle,vehicle_color,Table,yes,Vehicle Color,,,,,
Ssbikez,Add New Vehicle,update_color,Button,no,Update Color,,,,,
Ssbikez,Add New Vehicle,section_break_mkvdz,Section Break,no,Helmet,,,,,
Ssbikez,Add New Vehicle,special_helmet,Table,no,Normal Helmet,,,,,
Ssbikez,Add RSA Stock,purchase_type,Link,yes,Purchase Type,,,,,
Ssbikez,Add RSA Stock,rsa_type,Data,no,RSA Type,,,,,
Ssbikez,Add RSA Stock,supplier,Link,yes,Supplier,,,,,
Ssbikez,Add RSA Stock,purchase_quantity,Int,yes,Purchase Quantity,,,,,
Ssbikez,Add RSA Stock,update_stock,Button,no,Update Stock,,,,,
Ssbikez,Add Used Vehicle,disabled,Check,no,Disabled,,,,,
Ssbikez,Add Used Vehicle,section_break_ve9dr,Section Break,no,,,,,,
Ssbikez,Add Used Vehicle,used_vehicle_code,Data,no,Used Vehicle Code,,,,,
Ssbikez,Add Used Vehicle,manufacture,Link,yes,Manufacture,,,,,
Ssbikez,Add Used Vehicle,vehicle_category,Link,yes,Vehicle Category,,,,,
Ssbikez,Add Used Vehicle,column_break_e1pgo,Column Break,no,,,,,,
Ssbikez,Add Used Vehicle,used_vehicle_name,Link,yes,Used Vehicle Name,,,,,
Ssbikez,Add Used Vehicle,column_break_td1yu,Column Break,no,,,,,,
Ssbikez,Add Used Vehicle,model,Data,no,Model,,,,,
Ssbikez,Add Used Vehicle,item_sub_group,Link,yes,Item Sub Group,,,,,
Ssbikez,Add Used Vehicle,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Additional Vehicle Fittings,date,Date,no,Date,,,,,
Ssbikez,Additional Vehicle Fittings,item_code,Link,no,Item Code,,,,,
Ssbikez,Additional Vehicle Fittings,item_name,Data,yes,Item Name,,,,,
Ssbikez,Additional Vehicle Fittings,qty,Int,yes,Qty,,,,,
Ssbikez,Additional Vehicle Fittings,rack,Link,yes,Rack,,,,,
Ssbikez,Additional Vehicle Fittings,column_break_ixxm,Column Break,no,,,,,,
Ssbikez,Additional Vehicle Fittings,bin,Link,yes,BIn,,,,,
Ssbikez,Additional Vehicle Fittings,rate,Currency,yes,Rate,,,,,
Ssbikez,Additional Vehicle Fittings,total,Currency,yes,Total,,,,,
Ssbikez,Additional Vehicle Fittings,tool_status,Check,no,Tool Status,,,,,
Ssbikez,Additional Vehicle Fittings,balance_count,Int,no,Balance Count,,,,,
Ssbikez,Advance Payment Details,date,Date,yes,Date,,,,,
Ssbikez,Advance Payment Details,mode_of_payment,Select,yes,Mode Of Payment,,,,,
Ssbikez,Advance Payment Details,amount,Currency,yes,Amount,,,,,
Ssbikez,Advance Payment Details,to_account,Link,yes,To Account,,,,,
Ssbikez,Advance Payment Details,column_break_qkqo,Column Break,no,,,,,,
Ssbikez,Advance Payment Details,payment_entry_id,Data,no,Payment Entry ID,,,,,
Ssbikez,Advance Payment Details,advance_entry_status,Data,no,Advance Entry Status,,,,,
Ssbikez,Advance Payment Details,draft_type,Link,no,Draft Type,,,,,
Ssbikez,Advance Payment Details,column_break_ifjw,Column Break,no,,,,,,
Ssbikez,Advance Payment Details,swipe_charges,Data,no,Swipe Charges,,,,,
Ssbikez,Advance Payment Details,ref_no,Data,no,Ref No,,,,,
Ssbikez,Advance Payment Details,ref_date,Date,no,Ref Date,,,,,
Ssbikez,All Chasis No List,chasis_no,Data,yes,Chasis No,,,,,
Ssbikez,All Chasis No List,engine_no,Data,no,Engine No,,,,,
Ssbikez,All Chasis No List,register_no,Data,no,Register No,,,,,
Ssbikez,All Lights,items,Data,yes,Items,,,,,
Ssbikez,All Lights,yes,Check,no,Yes,,,,,
Ssbikez,All Lights,no,Check,no,No,,,,,
Ssbikez,Bank Draft Type Master,type,Data,yes,Type,,,,,
Ssbikez,Bay In Creation,bay_in_out_creation_section,Section Break,no,Bay In Creation,,,,,
Ssbikez,Bay In Creation,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Bay In Creation,company,Link,no,Company,,,,,
Ssbikez,Bay In Creation,date,Date,yes,Date,,,,,
Ssbikez,Bay In Creation,job_card_no,Link,yes,Job Card No,,,,,
Ssbikez,Bay In Creation,mechanic,Link,yes,Mechanic,,,,,
Ssbikez,Bay In Creation,date_time,Data,yes,Date Time,,,,,
Ssbikez,Bay In Creation,column_break_k1ui7,Column Break,no,,,,,,
Ssbikez,Bay In Creation,branch,Link,no,Branch,,,,,
Ssbikez,Bay In Creation,vehicle_name,Link,yes,Vehicle Code,,,,,
Ssbikez,Bay In Creation,register_no,Data,no,Register No,,,,,
Ssbikez,Bay In Creation,amended_from,Link,no,Amended From,,,,,
Ssbikez,Bay In Creation,section_break_avde,Section Break,no,,,,,,
Ssbikez,Bay In Creation,column_break_bzub,Column Break,no,,,,,,
Ssbikez,Bay In Creation,spares_total_amount,Currency,no,Spares Total Amount,,,,,
Ssbikez,Bay In Creation,column_break_niqb,Column Break,no,,,,,,
Ssbikez,Bay In Creation,labour_total_amount,Currency,no,Labour Total Amount,,,,,
Ssbikez,Bay In Creation,column_break_hvwi,Column Break,no,,,,,,
Ssbikez,Bay In Creation,outwork_total_amount,Currency,no,Outwork Total Amount,,,,,
Ssbikez,Bay Out Creation,date,Date,yes,Date,,,,,
Ssbikez,Bay Out Creation,job_card,Link,yes,Job Card,,,,,
Ssbikez,Bay Out Creation,column_break_g1ixe,Column Break,no,,,,,,
Ssbikez,Bay Out Creation,date_time,Data,yes,Date Time,,,,,
Ssbikez,Bay Out Creation,company,Link,no,Company,,,,,
Ssbikez,Bay Out Creation,branch,Link,no,Branch,,,,,
Ssbikez,Bay Out Creation,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Bay Out Creation,vehicle_details_section,Section Break,no,Vehicle Details,,,,,
Ssbikez,Bay Out Creation,vehicle_name,Link,yes,Vehicle Code,,,,,
Ssbikez,Bay Out Creation,remarks,Small Text,yes,Remarks,,,,,
Ssbikez,Bay Out Creation,column_break_etbhd,Column Break,no,,,,,,
Ssbikez,Bay Out Creation,mehanic_name,Link,yes,Mechanic Name,,,,,
Ssbikez,Bay Out Creation,column_break_jg1yc,Column Break,no,,,,,,
Ssbikez,Bay Out Creation,vehicle_number,Data,no,Vehicle Number,,,,,
Ssbikez,Bay Out Creation,amended_from,Link,no,Amended From,,,,,
Ssbikez,Bay Out Creation,section_break_odtj,Section Break,no,,,,,,
Ssbikez,Bay Out Creation,spares_total_amount,Currency,no,Spares Total Amount,,,,,
Ssbikez,Bay Out Creation,column_break_koaz,Column Break,no,,,,,,
Ssbikez,Bay Out Creation,labour_total_amount,Currency,no,Labour Total Amount,,,,,
Ssbikez,Bay Out Creation,column_break_tlib,Column Break,no,,,,,,
Ssbikez,Bay Out Creation,outwork_total_amount,Currency,no,Outwork Total Amount,,,,,
Ssbikez,Bay Out Creation,total_amount,Currency,no,Total Amount,,,,,
Ssbikez,Bin Items,item_name,Data,no,Item Name,,,,,
Ssbikez,Bin Items,status,Check,no,Status,,,,,
Ssbikez,Body Parts Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Body Parts Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Body Parts Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Brake Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Brake Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Brake Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Bulb Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Bulb Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Bulb Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Bunk Name,bunk_name,Data,yes,Bunk Name,,,,,
Ssbikez,Bunk Name,mobile_number,Data,yes,Mobile Number,,,,,
Ssbikez,Cables Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Cables Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Cables Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Chain Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Chain Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Chain Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Charges Indirect Income,charge_name,Data,yes,Charge Name,,,,,
Ssbikez,Charges Indirect Income,tax,Check,no,Tax,,,,,
Ssbikez,Charges Indirect Income,charge_,Data,yes,Charge %,,,,,
Ssbikez,Charges Indirect Income,column_break_mhri,Column Break,no,,,,,,
Ssbikez,Charges Indirect Income,tax_percentage,Link,no,Tax Percentage,,,,,
Ssbikez,Charges Indirect Income,hsn_code,Link,yes,HSN Code,,,,,
Ssbikez,Charges Indirect Income,column_break_ibmm,Column Break,no,,,,,,
Ssbikez,Charges Indirect Income,order_number,Int,yes,Order Number,,,,,
Ssbikez,Chasis No Digit Master,chasis_no_digit,Int,yes,Chasis No Digit,,,,,
Ssbikez,Chat Members Child,user,Link,no,User,,,,,
Ssbikez,Chat Message,room,Link,no,Room,,,,,
Ssbikez,Chat Message,sender,Link,no,Sender,,,,,
Ssbikez,Chat Message,message,Text,no,Message,,,,,
Ssbikez,Chat Message,message_type,Select,no,Message Type,,,,,
Ssbikez,Chat Message,timestamp,Datetime,no,Timestamp,,,,,
Ssbikez,Chat Room,room_name,Data,no,Room Name,,,,,
Ssbikez,Chat Room,is_group,Check,no,Is Group,,,,,
Ssbikez,Chat Room,members,Table,no,Members,,,,,
Ssbikez,Clutch Details Table,spares,Data,no,Spares,,,,,
Ssbikez,Clutch Details Table,change_need_yes,Check,no,Yes,,,,,
Ssbikez,Clutch Details Table,change_need_no,Check,no,No,,,,,
Ssbikez,Complaint Details Service,date,Date,no,Date,,,,,
Ssbikez,Complaint Details Service,customer_complaint,Data,no,Customer Complaint,,,,,
Ssbikez,Complaint Details Service,details,Data,no,Details,,,,,
Ssbikez,Complaint Details Service,status,Check,no,Work Done,,,,,
Ssbikez,Complaint Details,customer_complaint,Link,no,Customer Complaint,,,,,
Ssbikez,Complaint Details,details,Data,no,Details,,,,,
Ssbikez,Complaint Details,status,Select,no,Status,,,,,
Ssbikez,Complaint Details,complaint_check_box,Check,no,Complaint Check Box,,,,,
Ssbikez,Complaint Details,estimated_amount,Float,no,Estimated Amount,,,,,
Ssbikez,Counter Sale Child,item_code,Link,yes,Item Code,,,,,
Ssbikez,Counter Sale Child,item_name,Data,yes,Item Name,,,,,
Ssbikez,Counter Sale Child,qty,Int,yes,Qty,,,,,
Ssbikez,Counter Sale Child,column_break_awdx1,Column Break,no,,,,,,
Ssbikez,Counter Sale Child,rate,Currency,no,Rate,,,,,
Ssbikez,Counter Sale Child,amount,Currency,no,Amount,,,,,
Ssbikez,Counter Sale Child,gst_,Data,no,GST %,,,,,
Ssbikez,Counter Sale Child,total_amount,Currency,no,Total,,,,,
Ssbikez,Counter Sale Child,column_break_rlwk9,Column Break,no,,,,,,
Ssbikez,Counter Sale Child,rack,Link,yes,Rack,,,,,
Ssbikez,Counter Sale Child,bin,Link,yes,Bin,,,,,
Ssbikez,Counter Sale Child,issue_status,Check,no,Issue Status,,,,,
Ssbikez,Counter Sale Child,stock__qty,Int,no,Stock  Qty,,,,,
Ssbikez,Counter Sale Child,delivery_balance_qty,Int,no,Delivery Balance Qty,,,,,
Ssbikez,Counter Sale Child,uom,Data,no,UOM,,,,,
Ssbikez,Counter Sale Child,parent_id,Link,no,Parent ID,,,,,
Ssbikez,Counter Sale Return Child,item_code,Link,yes,Item Code,,,,,
Ssbikez,Counter Sale Return Child,item_name,Data,yes,Item Name,,,,,
Ssbikez,Counter Sale Return Child,qty,Int,yes,Qty,,,,,
Ssbikez,Counter Sale Return Child,column_break_awdx1,Column Break,no,,,,,,
Ssbikez,Counter Sale Return Child,rate,Currency,no,MRP Rate,,,,,
Ssbikez,Counter Sale Return Child,amount,Currency,no,GST Amount,,,,,
Ssbikez,Counter Sale Return Child,gst_,Data,no,GST %,,,,,
Ssbikez,Counter Sale Return Child,total_amount,Currency,no,Total,,,,,
Ssbikez,Counter Sale Return Child,return_qty,Int,yes,Return Qty,,,,,
Ssbikez,Counter Sale Return Child,column_break_rlwk9,Column Break,no,,,,,,
Ssbikez,Counter Sale Return Child,rack,Link,yes,Rack,,,,,
Ssbikez,Counter Sale Return Child,bin,Link,yes,Bin,,,,,
Ssbikez,Counter Sale Return Child,issue_status,Check,no,Issue Status,,,,,
Ssbikez,Counter Sale Return Child,stock__qty,Int,no,Stock  Qty,,,,,
Ssbikez,Counter Sale Return Child,delivery_balance_qty,Int,no,Delivery Balance Qty,,,,,
Ssbikez,Counter Sale Return Child,uom,Data,no,UOM,,,,,
Ssbikez,Counter Sale Return Child,parent_id,Link,no,Parent ID,,,,,
Ssbikez,Counter Sale Return,stock_return_done,Check,no,Stock Return Done,,,,,
Ssbikez,Counter Sale Return,column_break_tvar,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,amount_refund_done,Check,no,Amount Refund Done,,,,,
Ssbikez,Counter Sale Return,section_break_ool6,Section Break,no,,,,,,
Ssbikez,Counter Sale Return,counter_sale_id,Link,yes,Counter Sale ID,,,,,
Ssbikez,Counter Sale Return,customer,Link,yes,Customer,,,,,
Ssbikez,Counter Sale Return,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Counter Sale Return,column_break_ptdi,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,counter_sale_return_date,Date,yes,Counter Sale Return Date,,,,,
Ssbikez,Counter Sale Return,counter_sale_date,Date,yes,Counter Sale Date,,,,,
Ssbikez,Counter Sale Return,column_break_legh,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,mobile_number,Data,no,Mobile Number,,,,,
Ssbikez,Counter Sale Return,is_warranty,Check,no,Is Warranty,,,,,
Ssbikez,Counter Sale Return,spot_sale,Check,no,Spot Sale (No Order Direct Sale),,,,,
Ssbikez,Counter Sale Return,column_break_txsz,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,gst_category,Data,yes,GST Category,,,,,
Ssbikez,Counter Sale Return,godown,Link,yes,Godown,spares,CounterSaleReturn,godown,Fixed,spares/models.py:588 (model still SET_NULL/blank=True) + :616-621 (submit() now raises ValueError without godown); spares/forms.py:356-362 (CounterSaleReturnForm requires it); baa14d2; spares/tests.py::CounterSaleReturnGodownRequiredTests
Ssbikez,Counter Sale Return,amended_from,Link,no,Amended From,,,,,
Ssbikez,Counter Sale Return,section_break_zoxg,Section Break,no,,,,,,
Ssbikez,Counter Sale Return,counter_sale_items,Table,no,Counter Sale Items,,,,,
Ssbikez,Counter Sale Return,section_break_acfw,Section Break,no,Actual Counter Sale Details,,,,,
Ssbikez,Counter Sale Return,total_qty,Int,no,Return Total Qty,,,,,
Ssbikez,Counter Sale Return,advance_amount,Currency,no,Advance Amount,,,,,
Ssbikez,Counter Sale Return,column_break_ulgj,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,discount,Percent,no,Discount,,,,,
Ssbikez,Counter Sale Return,accounts_from,Link,yes,Accounts From,,,,,
Ssbikez,Counter Sale Return,column_break_hejp,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,discount_amount,Currency,no,Discount Amount,,,,,
Ssbikez,Counter Sale Return,accounts_to,Link,yes,Accounts To,,,,,
Ssbikez,Counter Sale Return,column_break_tlzh,Column Break,no,,,,,,
Ssbikez,Counter Sale Return,total_amount,Currency,no,Return Total Amount,,,,,
Ssbikez,Counter Sale,type,Select,no,Type,,,,,
Ssbikez,Counter Sale,date,Date,yes,Counter Sale Date,,,,,
Ssbikez,Counter Sale,is_warranty,Check,no,Is Warranty,,,,,
Ssbikez,Counter Sale,column_break_xczeo,Column Break,no,,,,,,
Ssbikez,Counter Sale,customer,Link,yes,Customer,,,,,
Ssbikez,Counter Sale,get_order,Button,no,Get Order,,,,,
Ssbikez,Counter Sale,column_break_1gmnc,Column Break,no,,,,,,
Ssbikez,Counter Sale,mobile_number,Data,yes,Mobile Number,,,,,
Ssbikez,Counter Sale,spot_sale,Check,no,Spot Sale (<b>No Order Direct Sale)</b>,,,,,
Ssbikez,Counter Sale,column_break_ju7a0,Column Break,no,,,,,,
Ssbikez,Counter Sale,gst_category,Data,yes,GST Category,,,,,
Ssbikez,Counter Sale,column_break_qeyzu,Column Break,no,,,,,,
Ssbikez,Counter Sale,godown,Link,yes,Godown,spares,CounterSale,godown,Match,"spares/models.py:452 (ForeignKey(Warehouse, on_delete=models.PROTECT) -- required, no null=True)"
Ssbikez,Counter Sale,section_break_hvlkx,Section Break,no,,,,,,
Ssbikez,Counter Sale,counter_sale_items,Table,yes,Counter Sale Items,,,,,
Ssbikez,Counter Sale,section_break_tgiil,Section Break,no,,,,,,
Ssbikez,Counter Sale,total_qty,Int,yes,Total Qty,,,,,
Ssbikez,Counter Sale,discount_amount,Currency,no,Discount Amount,,,,,
Ssbikez,Counter Sale,advance_amount,Currency,no,Advance Amount,,,,,
Ssbikez,Counter Sale,column_break_lrsqm,Column Break,no,,,,,,
Ssbikez,Counter Sale,discount,Float,no,Discount,,,,,
Ssbikez,Counter Sale,pending_amount,Currency,no,Pending Amount,,,,,
Ssbikez,Counter Sale,column_break_q6ilc,Column Break,no,,,,,,
Ssbikez,Counter Sale,total_amount,Currency,yes,Total Amount,,,,,
Ssbikez,Counter Sale,payment_status,Data,no,Payment Status,,,,,
Ssbikez,Counter Sale,naming_series,Select,no,Naming Series,,,,,
Ssbikez,Counter Sale,counter_sale_balance,Int,no,Counter Sale Balance,,,,,
Ssbikez,Counter Sale,ledger_voucher_no,Link,no,Ledger Voucher No,,,,,
Ssbikez,Counter Sale,section_break_q3o3l,Section Break,no,,,,,,
